Nature,When.Reported,Occurred.Between,Case..,Location,Disposition
Traffic Offense,5/2/13 0:25,2013-05-02 00:25:23 and 2013-05-02 00:25:25,1305-0011,636 W CALL ST; PEPPER BLDG,PEN
Investigation,10/17/13 13:56,2013-10-17 13:56:45 and 2013-10-17 13:56:45,1310-0209,74 CHIEFTAN WAY; KELLUM HALL,CLO
Agency Assist,7/27/13 2:48,2013-07-27 02:48:35 and 2013-07-27 02:48:35,1307-0237,606 W CALL ST,CLO
Traffic Offense,6/24/13 16:58,2013-06-24 16:58:24 and 2013-06-24 16:58:25,1306-0147,W ST AUGUSTINE ST & S WOODWARD AVE,PEN
Traff Crash 4,1/29/13 21:03,2013-01-29 21:03:49 and 2013-01-29 21:03:49,1301-0279,860 TRADITIONS WAY; PARKING GARAGE #2,CLO
Property Damage,7/6/13 10:01,2013-07-06 10:01:15 and 2013-07-06 10:01:15,1307-0033,122 VARSITY WAY; Band Practice Shed,CLO
Fraud,1/11/13 10:54,2013-01-11 10:53:59 and 2013-01-11 10:53:59,1301-0066,830 W JEFFERSON ST; TANNER HALL,CLO
Found Property,3/31/13 20:41,2013-03-31 15:00:00 and 2013-03-31 20:41:28,1303-0285,126 CONVOCATION WAY; MURPHREE HALL,CLO
Agency Assist,9/16/13 14:39,2013-09-16 14:39:44 and 2013-09-16 14:39:44,1309-0201,LEVY AVE,CLO
Sick/Inj Person,6/29/13 19:00,2013-06-29 18:50:00 and 2013-06-29 19:00:00,1306-0189,288 CHAMPIONS WAY; UNIVERSITY CENTER B,CLO
DUI,1/8/13 3:12,2013-01-08 03:12:12 and 2013-01-08 03:12:13,1301-0026,830 W JEFFERSON ST; TANNER HALL,PEN
Traffic Offense,10/20/13 1:01,2013-10-20 01:01:23 and 2013-10-20 01:01:24,1310-0237,W TENNESSEE ST,PEN
Intox Person 2,11/16/13 16:14,2013-11-16 16:14:19 and 2013-11-16 16:14:19,1311-0249,411 STADIUM DR; CAMPBELL STADIUM,CLO
Sick/Inj Person,7/31/13 7:11,2013-07-31 07:11:14 and 2013-07-31 07:11:14,1307-0276,118 VARSITY WAY; LEACH CENTER,CLO
Crim Mischief,11/1/13 18:03,2013-11-01 18:03:07 and 2013-11-01 18:03:07,1311-0024,74 CHIEFTAN WAY; KELLUM HALL,CLO
Sick/Inj Person,1/12/13 2:55,2013-01-12 02:55:24 and 2013-01-12 02:55:24,1301-0076,157 HERLONG DR; 9,CLO
Suspicious Act.,4/18/13 23:39,2013-04-18 23:39:12 and 2013-04-18 23:39:12,1304-0192,511 W COLLEGE AVE; Commuter Lot,OTH
Traff Crash 4,3/4/13 9:21,2013-03-04 09:21:04 and 2013-03-04 09:21:04,1303-0026,282 CHAMPIONS WAY; UNIVERSITY CENTER A,CLO
Found Property,7/24/13 23:03,2013-07-24 23:03:47 and 2013-07-24 23:03:47,1307-0206,116 HONORS WAY; STROZIER LIBRARY,CLO
Agency Assist,3/19/13 21:43,2013-03-19 21:43:20 and 2013-03-19 21:43:20,1303-0163,400 HAYDEN RD,CLO
Fraud,9/2/13 23:31,2013-09-02 23:31:22 and 2013-09-02 23:31:22,1309-0016,938 W JEFFERSON ST; WILDWOOD NO.1,EXP
Fraud,11/17/13 15:30,2013-11-17 15:30:31 and 2013-11-17 15:30:31,1311-0263,830 W JEFFERSON ST; TANNER HALL,CLO
Agency Assist,4/18/13 12:12,2013-04-18 12:12:21 and 2013-04-18 13:10:00,1304-0186,411 STADIUM DR; CAMPBELL STADIUM,CLO
Crim Mischief,8/28/13 2:46,2013-08-28 02:46:36 and 2013-08-28 02:46:36,1308-0197,W CALL ST & HONORS WAY,PEN
Traffic Offense,2/26/13 1:03,2013-02-26 01:03:12 and 2013-02-26 01:03:13,1302-0267,W TENNESSEE ST & DEWEY ST,CLO
Investigation,4/26/13 12:15,2013-04-26 12:15:26 and 2013-04-26 12:15:26,1304-0307,608 W TENNESSEE ST /UNIVERSITY CLUB HOME APTS,CLO
Crim Mischief,11/12/13 14:21,2013-11-12 09:30:00 and 2013-11-12 13:45:00,1311-0186,804 W CALL ST; ROVETTA - BLDG A,CLO
Theft,10/31/13 8:32,2013-08-15 12:00:00 and 2013-10-24 12:00:00,1310-0416,113 COLLEGIATE LOOP; BELLAMY BLDG,CLO
Fire Alarm,4/19/13 10:25,2013-04-19 10:24:54 and 2013-04-19 10:24:54,1304-0198,2525 POTTSDAMER ST; COLLEGE OF ENGINEERING,CLO
Alcohol Offense,7/24/13 22:46,2013-07-24 22:46:45 and 2013-07-24 22:46:45,1307-0205,656 W TENNESSEE ST,PEN
Alcohol Offense,3/17/13 16:23,2013-03-17 16:23:19 and 2013-03-17 16:23:19,1303-0144,W LAFAYETTE ST,CLO
Information Bul,2/17/13 19:14,2013-02-17 19:14:08 and 2013-02-17 19:14:08,1302-0182,814 W TENNESSEE ST; DEGRAFF LOT,CLO
Sick/Inj Person,3/25/13 20:20,2013-03-25 20:19:32 and 2013-03-25 20:19:32,1303-0216,267 CHIEFTAN WAY; CIRCUS LOT,CLO
Theft,6/14/13 11:08,2013-06-14 11:08:37 and 2013-06-14 11:08:37,1306-0088,411 STADIUM DR; CAMPBELL STADIUM,CLO
Sick/Inj Person,7/22/13 21:48,2013-07-22 21:48:40 and 2013-07-22 21:48:40,1307-0181,118 VARSITY WAY; LEACH CENTER,CLO
Crim Mischief,11/9/13 12:56,2013-11-08 21:27:05 and 2013-11-08 21:28:00,1311-0169,518 W PARK AVE,CLO
Alcohol Offense,1/18/13 1:32,2013-01-18 01:32:36 and 2013-01-18 01:32:36,1301-0152,459 W COLLEGE AVE; Potbellies,CLO
Alcohol Offense,2/21/13 23:19,2013-02-21 23:19:00 and 2013-02-21 23:19:00,1302-0220,HERITAGE GROVE CIR,CLO
Welfare Check,4/19/13 17:15,2013-04-18 00:00:00 and 2013-04-19 17:14:40,1304-0205,3515 lands end lane,CLO
Crim Mischief,2/9/13 1:47,2013-02-09 01:47:23 and 2013-02-09 01:47:23,1302-0090,804 W CALL ST; ROVETTA - BLDG A,PEN
Investigation,2/18/13 11:20,2013-02-18 11:20:48 and 2013-02-18 11:20:48,1302-0187,810 W TENNESSEE ST; DEGRAFF WEST,CLO
Alcohol Offense,8/27/13 2:39,2013-08-27 02:39:41 and 2013-08-27 02:39:41,1308-0178,W PENSACOLA ST & S MACOMB ST,PEN
Found Property,4/8/13 22:37,2013-04-08 22:37:47 and 2013-04-08 22:37:47,1304-0084,282 CHAMPIONS WAY; UNIVERSITY CENTER A,CLO
Crim Mischief,11/4/13 21:08,2013-11-04 21:08:50 and 2013-11-04 21:08:50,1311-0124,104 N WOODWARD AVE; Parking Garage #1,CLO
Traff Crash 4,6/18/13 10:54,2013-06-18 10:50:00 and 2013-06-18 10:54:17,1306-0105,860 TRADITIONS WAY; PARKING GARAGE #2,CLO
Intox Person 2,8/27/13 23:30,2013-08-27 23:29:56 and 2013-08-27 23:29:56,1308-0191,1106 W CALL ST; SALLEY HALL,CLO
Sick/Inj Person,4/26/13 6:01,2013-04-26 06:01:26 and 2013-04-26 06:01:26,1304-0302,116 HONORS WAY; STROZIER LIBRARY,CLO
Agency Assist,8/15/13 22:00,2013-08-15 22:00:42 and 2013-08-15 22:00:42,1308-0085,1775 W TENNESSEE ST,CLO
Burglary,11/8/13 1:14,2013-11-08 01:14:16 and 2013-11-08 01:14:16,1311-0152,114 N COPELAND ST; Opperman Music Hall,CLO
Theft,7/2/13 16:59,2013-06-27 14:00:00 and 2013-07-02 14:00:00,1307-0008,1106 W CALL ST; SALLEY HALL,CLO
Information Bul,8/26/13 10:06,2013-08-26 10:00:00 and 2013-08-26 10:10:00,1308-0162,508 S MACOMB ST; PARKING GARAGE #5,CLO
Sick/Inj Person,5/29/13 20:10,2013-05-29 20:10:43 and 2013-05-29 20:10:43,1305-0208,89 N WOODWARD AVE; UNION,CLO
Sick/Inj Person,3/1/13 2:26,2013-03-01 02:22:15 and 2013-03-01 02:22:15,1303-0001,524 W COLLEGE AVE,CLO
Theft,4/3/13 9:26,2013-04-03 09:26:20 and 2013-04-03 09:26:20,1304-0017,89 N WOODWARD AVE; UNION,CLO
Drugs,2/23/13 1:04,2013-02-23 01:04:42 and 2013-02-23 01:04:42,1302-0238,1169 HULL DR; Hull Dr Lot,CLO
Theft,7/30/13 13:37,2013-07-09 13:37:17 and 2013-07-25 13:37:17,1307-0269,MARINE LAB,CLO
Sick/Inj Person,10/8/13 19:38,2013-10-08 19:38:47 and 2013-10-08 19:38:47,1310-0087,74 CHIEFTAN WAY; KELLUM HALL,CLO
Crim Mischief,11/16/13 23:52,2013-11-16 23:49:38 and 2013-11-16 23:49:38,1311-0253,W COLLEGE AVE & S MACOMB ST,CLO
Traffic Offense,1/9/13 22:39,2013-01-09 22:39:31 and 2013-01-09 22:39:32,1301-0046,267 CHIEFTAN WAY; CIRCUS LOT,PEN
Lost Property,9/5/13 14:49,2013-09-05 14:48:47 and 2013-09-05 14:48:47,1309-0057,144 HONORS WAY; LANDIS GREEN,CLO
Welfare Check,12/16/13 10:15,2013-12-16 10:15:17 and 2013-12-16 10:15:17,1312-0162,296 CHAMPIONS WAY; UNIVERSITY CENTER C,CLO
Alcohol Offense,1/18/13 1:05,2013-01-18 01:05:30 and 2013-01-18 01:05:30,1301-0148,459 W COLLEGE AVE; Potbellies,CLO
Found Property,9/17/13 1:16,2013-09-17 01:16:51 and 2013-09-17 01:16:51,1309-0206,116 HONORS WAY; STROZIER LIBRARY,CLO
Crim Mischief,2/6/13 2:20,2013-02-06 02:00:00 and 2013-02-06 02:19:56,1302-0055,1944 HERITAGE GROVE CIR,CLO
Crime Prev Acti,10/25/13 21:41,2013-10-25 21:41:25 and 2013-10-25 21:41:25,1310-0321,408 W COLLEGE AVE,CLO
Sick/Inj Person,2/11/13 12:28,2013-02-11 12:28:25 and 2013-02-11 12:28:25,1302-0109,1107 W CALL ST; NEW PSYCHOLOGY BLDG,CLO
Traffic Offense,10/10/13 0:07,2013-10-10 00:07:35 and 2013-10-10 00:07:37,1310-0103,W TENNESSEE ST & DEWEY ST,CLO
Traff Crash 4,1/17/13 10:38,2013-01-17 10:37:49 and 2013-01-17 10:37:49,1301-0129,414 WALKER ST; Parking Garage #6,CLO
Found Property,8/2/13 13:26,2013-08-02 13:26:37 and 2013-08-02 13:26:37,1308-0007,134 CONVOCATION WAY; REYNOLDS HALL,CLO
Mental Health,4/30/13 12:57,2013-04-30 12:57:26 and 2013-04-30 12:57:26,1304-0339,942 LEARNING WAY; STUDENT LIFE BUILDING,CLO
Traffic Offense,1/29/13 12:06,2013-01-29 12:06:26 and 2013-01-29 12:06:28,1301-0271,DEWEY ST,PEN
Theft,10/9/13 17:52,2013-10-09 17:25:00 and 2013-10-09 17:52:33,1310-0100,1159 HULL DR; WESTSIDE COURTS PAVILION,CLO
Theft,8/29/13 9:23,2013-08-24 13:00:00 and 2013-08-24 21:00:00,1308-0227,510 W PARK AVE; KAPPA ALPHA THETA,CLO
Burglary,12/3/13 23:02,2013-12-03 14:00:00 and 2013-12-03 23:02:33,1312-0031,HERITAGE GROVE CIR,CLO
Robbery,9/23/13 10:23,2013-09-21 19:00:00 and 2013-09-21 20:00:00,1309-0274,411 STADIUM DR; CAMPBELL STADIUM,CLO
Property Damage,3/28/13 16:46,2013-03-28 16:40:06 and 2013-03-28 16:45:06,1303-0250,268 CHIEFTAN WAY; WOMENS SOFTBALL LOT,CLO
Rape,7/11/13 3:18,2013-07-11 03:17:52 and 2013-07-11 03:17:52,1307-0073,808 W TENNESSEE ST; DEGRAFF EAST,CLO
Investigation,11/16/13 16:26,2013-11-16 16:26:09 and 2013-11-16 16:26:09,1311-0246,411 STADIUM DR; CAMPBELL STADIUM,CLO
Alcohol Offense,1/17/13 21:32,2013-01-17 21:32:12 and 2013-01-17 21:32:12,1301-0139,1920 HERITAGE GROVE CIR; HERITAGE GROVE BLDG 6,CLO
Fire Alarm,11/2/13 3:27,2013-11-02 03:27:04 and 2013-11-02 03:27:04,1311-0041,1600 RED BARBER PLZ; WFSU,CLO
Lost Property,7/12/13 15:37,2013-07-12 14:40:00 and 2013-07-12 15:00:00,1307-0084,411 STADIUM DR; CAMPBELL STADIUM,CLO
Traff Crash 4,2/8/13 12:17,2013-02-08 12:10:28 and 2013-02-08 12:17:28,1302-0080,1122 SPIRIT WAY; PARKING GARAGE #3,CLO
Traffic Offense,10/14/13 9:49,2013-10-14 09:49:27 and 2013-10-14 09:49:28,1310-0154,STADIUM DR,PEN
Burglary,7/29/13 11:58,2013-07-29 08:00:00 and 2013-07-29 11:57:55,1307-0257,301 M L KING BLVD S; Law School Advocate Center,CLO
Theft,2/1/13 12:00,2013-02-01 12:00:36 and 2013-02-01 12:00:36,1302-0005,860 TRADITIONS WAY; PARKING GARAGE #2,CLO
Traff Crash 4,3/25/13 13:13,2013-03-25 13:13:35 and 2013-03-25 13:13:35,1303-0210,ACADEMIC WAY,CLO
Sick/Inj Person,7/15/13 23:51,2013-07-15 23:51:35 and 2013-07-15 23:51:35,1307-0104,134 CONVOCATION WAY; REYNOLDS HALL,CLO
Theft,4/7/13 18:27,2013-04-06 12:00:00 and 2013-04-07 17:00:00,1304-0067,714 UNIVERSITY WAY; LANDIS HALL,CLO
Crim Mischief,10/28/13 12:50,2013-10-25 17:00:00 and 2013-10-28 09:00:00,1310-0370,1947 HERITAGE GROVE CIR,CLO
Property Damage,11/8/13 13:49,2013-11-06 14:00:00 and 2013-11-06 15:00:00,1311-0160,2000 LEVY AVE,CLO
Trespassing,1/23/13 22:13,2013-01-23 22:13:26 and 2013-01-23 22:13:26,1301-0216,504 W CALL ST; PARKING GARAGE #4,PEN
Trespassing,2/20/13 14:43,2013-02-20 14:43:35 and 2013-02-20 14:43:35,1302-0209,977 LEARNING WAY; STARBUCKS,PEN
Drugs,11/9/13 18:26,2013-11-09 18:26:16 and 2013-11-09 18:26:16,1311-0170,202 VARSITY DR; WILDWOOD NO.2,EXP
Lost Property,11/14/13 17:53,2013-11-14 17:53:07 and 2013-11-14 17:53:07,1311-0210,830 W JEFFERSON ST; TANNER HALL,CLO
Alcohol Offense,10/26/13 23:54,2013-10-26 23:54:07 and 2013-10-26 23:54:07,1310-0358,ACADEMIC WAY & DEWEY ST,PEN
Intox Person 2,7/20/13 1:35,2013-07-20 01:35:09 and 2013-07-20 01:35:09,1307-0162,119 HONORS WAY; CAWTHON HALL,CLO
Alcohol Offense,4/26/13 0:29,2013-04-26 00:29:25 and 2013-04-26 00:29:25,1304-0291,459 W COLLEGE AVE; Potbellies,PEN
Traff Hit/Run 3,11/6/13 22:06,2013-11-06 22:06:39 and 2013-11-06 22:06:39,1311-0142,W JEFFERSON ST & S COPELAND ST,CLO
Drugs,4/7/13 20:50,2013-04-07 20:50:21 and 2013-04-07 20:50:21,1304-0075,287 CHAMPIONS WAY; Langford Green,PEN
Investigation,7/29/13 9:14,2013-07-22 16:00:00 and 2013-07-26 17:00:00,1307-0255,1115 W CALL ST; THRASHER MEDICAL SCHOOL,CLO
Traffic Offense,1/23/13 2:41,2013-01-23 02:41:53 and 2013-01-23 02:41:54,1301-0205,W TENNESSEE ST & N COPELAND ST,PEN
Fire Alarm,10/22/13 13:18,2013-10-22 13:18:37 and 2013-10-22 13:18:37,1310-0269,714 UNIVERSITY WAY; LANDIS HALL,CLO
Theft,9/24/13 14:13,2013-09-24 14:13:08 and 2013-09-24 14:13:08,1309-0286,113 COLLEGIATE LOOP; BELLAMY BLDG,CLO
Crim Mischief,2/17/13 4:20,2013-02-17 04:20:42 and 2013-02-17 04:20:42,1302-0176,808 W TENNESSEE ST; DEGRAFF EAST,CLO
Crim Mischief,4/16/13 21:48,2013-04-15 20:00:00 and 2013-04-16 21:48:17,1304-0168,414 WALKER ST; Parking Garage #6,CLO
Intox Person 2,9/12/13 1:22,2013-09-12 01:22:55 and 2013-09-12 01:22:55,1309-0145,78 CHIEFTAN WAY; SMITH HALL,CLO
Burglary,11/28/13 22:28,2013-11-26 16:30:00 and 2013-11-28 22:10:00,1311-0400,163 CRENSHAW DR,CLO
Found Property,3/1/13 17:15,2013-03-01 17:15:06 and 2013-03-01 17:15:06,1303-0008,830 W JEFFERSON ST; TANNER HALL,CLO
Found Property,1/22/13 11:39,2013-01-19 12:00:00 and 2013-01-22 11:38:53,1301-0198,W TENNESSEE ST,CLO
Theft,3/7/13 14:50,2013-03-07 14:50:41 and 2013-03-07 14:50:41,1303-0076,989 LEARNING WAY; CLASSROOM FACILITY,CLO
Fire Alarm,11/9/13 12:43,2013-11-09 12:43:07 and 2013-11-09 12:43:07,1311-0168,101 CHIEFTAN WAY; HOFFMAN TEACH.LAB,CLO
Fire Alarm,7/10/13 6:09,2013-07-10 06:08:50 and 2013-07-10 06:08:50,1307-0063,711 W MADISON ST,CLO
DUI,5/25/13 2:15,2013-05-25 02:15:50 and 2013-05-25 02:15:52,1305-0174,STADIUM DR,PEN
Fire Alarm,2/26/13 23:22,2013-02-26 23:22:24 and 2013-02-26 23:22:24,1302-0277,812 W JEFFERSON ST; DORMAN HALL,CLO
Burglary,7/27/13 2:30,2013-07-27 03:30:00 and 2013-07-27 19:57:05,1307-0234,808 W TENNESSEE ST; DEGRAFF EAST,CLO
Investigation,8/7/13 15:21,2013-08-07 15:20:47 and 2013-08-07 15:20:47,1308-0036,157 HERLONG DR,CLO
Traffic Offense,12/17/13 10:02,2013-12-17 10:01:59 and 2013-12-17 10:02:00,1312-0173,STADIUM DR,CLO
Citizen Assist,6/6/13 11:00,2013-06-06 11:00:19 and 2013-06-06 11:00:19,1306-0033,104 N WOODWARD AVE; Parking Garage #1,CLO
DUI,4/26/13 21:46,2013-04-26 21:46:22 and 2013-04-26 21:46:24,1304-0312,600 W GAINES ST,PEN
Crim Mischief,7/27/13 22:59,2013-07-27 22:59:36 and 2013-07-27 22:59:36,1307-0239,808 W TENNESSEE ST; DEGRAFF EAST,CLO
Intox Person 2,8/28/13 23:02,2013-08-28 23:02:13 and 2013-08-28 23:02:13,1308-0215,ACADEMIC WAY & DEWEY ST,CLO
Marchman Act,4/20/13 21:30,2013-04-20 21:30:15 and 2013-04-20 21:30:15,1304-0218,1030 W TENNESSEE ST; ALUMNI CENTER FACILITY,CLO
Theft,11/21/13 20:34,2013-11-21 20:30:03 and 2013-11-21 20:34:03,1311-0323,1122 SPIRIT WAY; PARKING GARAGE #3,CLO
Found Property,11/1/13 7:31,2013-11-01 07:31:22 and 2013-11-01 07:31:22,1311-0014,411 STADIUM DR; CAMPBELL STADIUM,CLO
Suspicious Act.,10/29/13 22:49,2013-10-29 22:49:42 and 2013-10-29 22:49:42,1310-0388,628 W CALL ST; HECHT HOUSE,CLO
Information Bul,10/12/13 1:27,2013-10-12 01:27:11 and 2013-10-12 01:27:11,1310-0129,1904 HERITAGE GROVE CIR; HERITAGE GROVE BLDG 2,CLO
Intox Person 2,7/6/13 1:09,2013-07-06 01:09:28 and 2013-07-06 01:09:28,1307-0030,134 CONVOCATION WAY; REYNOLDS HALL,CLO
Alcohol Offense,11/21/13 23:24,2013-11-21 23:24:45 and 2013-11-21 23:24:45,1311-0325,511 W COLLEGE AVE; Commuter Lot,PEN
Marchman Act,7/14/13 1:28,2013-07-14 01:27:46 and 2013-07-14 01:27:46,1307-0094,1912 HERITAGE GROVE CIR; HERITAGE GROVE BLDG 4,CLO
Traffic Offense,7/17/13 14:19,2013-07-17 14:19:45 and 2013-07-17 14:19:47,1307-0125,W TENNESSEE ST,CLO
Sick/Inj Person,4/25/13 16:04,2013-04-25 15:50:00 and 2013-04-25 16:04:46,1304-0278,821 ACADEMIC WAY; ROVETTA BLDG B,CLO
Investigation,8/24/13 7:35,2013-06-01 07:34:47 and 2013-08-24 07:34:47,1308-0144,2550 POTTSDAMER ST; SEMINOLE GOLF COURSE,CLO
Wanted Person,10/18/13 1:34,2013-10-18 01:34:33 and 2013-10-18 01:34:34,1310-0218,STADIUM DR & W CALL ST,PEN
Found Property,9/20/13 14:38,2013-09-20 14:38:21 and 2013-09-20 14:38:21,1309-0250,W PARK AVE,
Traffic Offense,3/11/13 16:07,2013-03-11 16:07:55 and 2013-03-11 16:07:58,1303-0102,W COLLEGE AVE,PEN
Traff Crash 4,6/9/13 13:37,2013-06-09 13:36:54 and 2013-06-09 13:36:54,1306-0056,100 S WOODWARD AVE; WOODJEFF LOT,CLO
Fire Alarm,9/5/13 8:31,2013-09-05 08:31:27 and 2013-09-05 08:31:27,1309-0048,95 CHIEFTAN WAY; DITTMER CHEMISTRY LAB,CLO
Sick/Inj Person,10/25/13 23:16,2013-10-25 23:16:41 and 2013-10-25 23:16:41,1310-0325,89 N WOODWARD AVE; UNION,CLO
Alcohol Offense,11/22/13 22:03,2013-11-22 22:03:53 and 2013-11-22 22:03:53,1311-0340,1916 HERITAGE GROVE CIR; HERITAGE GROVE BLDG 5,PEN
Investigation,2/11/13 18:29,2013-01-10 13:00:00 and 2013-02-11 14:30:00,1302-0114,104 N WOODWARD AVE; Parking Garage #1,CLO
DUI,1/19/13 1:18,2013-01-19 01:18:48 and 2013-01-19 01:18:48,1301-0164,969 LEARNING WAY; MENDENHALL MAINT A,PEN
Crim Mischief,4/20/13 2:49,2013-04-20 02:49:25 and 2013-04-20 02:49:25,1304-0211,78 CHIEFTAN WAY; SMITH HALL,CLO
Alcohol Offense,10/26/13 15:48,2013-10-26 15:48:35 and 2013-10-26 15:48:35,1310-0342,FSU Bike Trail Tunnel,PEN
Fire Alarm,3/27/13 16:13,2013-03-27 16:13:16 and 2013-03-27 16:25:00,1303-0232,101 CHIEFTAN WAY; HOFFMAN TEACH.LAB,CLO
Traffic Offense,3/30/13 21:20,2013-03-30 21:20:43 and 2013-03-30 21:20:45,1303-0277,W TENNESSEE ST & N MACOMB ST,PEN
Lost Property,2/4/13 12:42,2013-02-04 12:42:08 and 2013-02-04 12:42:08,1302-0038,812 W JEFFERSON ST; DORMAN HALL,CLO
Sick/Inj Person,11/19/13 7:04,2013-11-19 07:04:15 and 2013-11-19 07:04:15,1311-0281,808 W TENNESSEE ST; DEGRAFF EAST,CLO
Special Assignm,3/7/13 18:00,2013-03-07 18:00:09 and 2013-03-07 18:00:09,1303-0077,118 VARSITY WAY; LEACH CENTER,CLO
Burglary,6/7/13 11:02,2013-05-24 11:02:13 and 2013-06-07 11:02:13,1306-0043,1939 HERITAGE GROVE CIR; HERITAGE GROVE BLDG 14,CLO
Sick/Inj Person,9/23/13 11:09,2013-09-23 11:09:34 and 2013-09-23 11:09:34,1309-0273,1115 W CALL ST; THRASHER MEDICAL SCHOOL,CLO
Found Property,11/10/13 22:53,2013-11-10 22:53:03 and 2013-11-10 22:53:03,1311-0175,505 W PENSACOLA ST; Civic Center,CLO
Crim Mischief,8/29/13 8:06,2013-08-28 17:00:00 and 2013-08-29 08:00:00,1308-0225,LEARNING WAY,CLO
Baker Act,3/1/13 13:50,2013-03-01 13:49:47 and 2013-03-01 13:49:47,1303-0007,1106 W CALL ST; SALLEY HALL,CLO
Sick/Inj Person,3/26/13 17:24,2013-03-26 17:24:13 and 2013-03-26 17:24:13,1303-0223,118 VARSITY WAY; LEACH CENTER,CLO
Information Bul,11/19/13 18:33,2013-11-19 13:00:00 and 2013-11-19 18:33:09,1311-0290,1147 ACADEMIC WAY; ROGERS HALL,CLO
Disturbance,4/28/13 7:20,2013-04-28 07:20:34 and 2013-04-28 07:20:34,1304-0323,183 COYLE MOORE JR DR,CLO
Traff Hit/Run 3,1/27/13 17:12,2013-01-27 17:12:00 and 2013-01-27 17:12:00,1301-0254,MCCOLLUM HALL PARKING LOT,CLO
Traffic Offense,8/12/13 14:57,2013-08-12 14:57:00 and 2013-08-12 14:57:02,1308-0067,RAILROAD AVE,CLO
Found Property,10/26/13 22:45,2013-10-26 22:45:07 and 2013-10-26 22:45:07,1310-0354,411 STADIUM DR; CAMPBELL STADIUM,CLO
Intox Person 2,5/3/13 22:50,2013-05-03 22:50:09 and 2013-05-03 22:50:09,1305-0038,528 W JEFFERSON ST; KAPPA KAPPA GAMMA,CLO
Suspicious Act.,4/9/13 10:17,2013-04-09 10:17:45 and 2013-04-09 10:17:45,1304-0090,830 W JEFFERSON ST; TANNER HALL,CLO
Sick/Inj Person,5/2/13 4:03,2013-05-02 04:03:32 and 2013-05-02 04:03:32,1305-0012,346 PENNELL CIR,CLO
Found Property,2/2/13 23:00,2013-02-02 23:00:26 and 2013-02-02 23:00:26,1302-0023,78 CHIEFTAN WAY; SMITH HALL,CLO
Sick/Inj Person,9/19/13 13:49,2013-09-19 13:49:17 and 2013-09-19 13:49:17,1309-0232,104 N WOODWARD AVE; FSU Bookstore,CLO
Fire Alarm,10/29/13 13:48,2013-10-29 13:47:30 and 2013-10-29 13:47:30,1310-0382,107 CHIEFTAN WAY; BIOMEDICAL RESEARCH FACILITY,CLO
Welfare Check,9/19/13 2:36,2013-09-19 02:36:28 and 2013-09-19 02:36:28,1309-0229,74 CHIEFTAN WAY; KELLUM HALL,CLO
Theft,5/6/13 11:58,2013-05-06 11:58:51 and 2013-05-06 11:58:51,1305-0060,960 LEARNING WAY; Wellness Center,CLO
Fire Alarm,2/22/13 7:33,2013-02-22 07:33:32 and 2013-02-22 07:33:32,1302-0228,145 CONVOCATION WAY; EPPES HALL,CLO
Suspicious,1/22/13 17:08,2013-01-22 14:30:00 and 2013-01-22 16:30:00,1301-0201,525 STADIUM DR; MOORE ATHLETIC CENTER,CLO
Fire Alarm,2/3/13 1:30,2013-02-03 01:30:07 and 2013-02-03 01:30:07,1302-0026,960 LEARNING WAY; Wellness Center,CLO
Fraud,8/28/13 1:43,2013-08-28 01:43:31 and 2013-08-28 01:43:31,1308-0196,1106 W CALL ST; SALLEY HALL,PEN
Rape,9/29/13 7:19,2013-09-29 02:00:00 and 2013-09-29 06:00:00,1309-0326,1920 HERITAGE GROVE CIR; HERITAGE GROVE BLDG 6,CLO
Alcohol Offense,2/12/13 2:10,2013-02-12 02:10:34 and 2013-02-12 02:10:34,1302-0117,W VIRGINIA ST & DEWEY ST,CLO
Traffic Offense,10/25/13 2:19,2013-10-25 02:19:43 and 2013-10-25 02:19:44,1310-0310,W JEFFERSON ST,PEN
Marchman Act,8/23/13 23:26,2013-08-23 23:26:01 and 2013-08-23 23:26:01,1308-0140,144 HONORS WAY; LANDIS GREEN,CLO
Mental Health,10/15/13 17:53,2013-10-15 17:52:22 and 2013-10-15 17:52:22,1310-0184,960 LEARNING WAY; Wellness Center,CLO
Parking Problem,11/10/13 7:57,2013-11-10 07:57:29 and 2013-11-10 07:57:29,1311-0173,520 W MADISON ST; BASKETBALL TRAINING FACILITY,CLO
Theft,2/6/13 22:21,2013-02-06 22:21:37 and 2013-02-06 22:21:37,1302-0064,814 W TENNESSEE ST; DEGRAFF LOT,PEN
Hazing,2/11/13 16:17,2013-02-11 16:17:23 and 2013-02-11 16:17:23,1302-0112,830 W JEFFERSON ST; TANNER HALL,CLO
Fire Alarm,11/26/13 16:56,2013-11-26 16:56:46 and 2013-11-26 16:56:46,1311-0390,101 CHIEFTAN WAY; HOFFMAN TEACH.LAB,CLO
Traff Hit/Run 3,3/2/13 20:38,2013-03-02 12:00:00 and 2013-03-02 19:30:00,1303-0014,100 S WOODWARD AVE; WOODJEFF LOT,CLO
Theft,5/4/13 14:35,2013-05-04 14:35:22 and 2013-05-04 14:35:22,1305-0045,1114 W CALL ST; STONE BLDG,CLO
Lost Property,10/8/13 14:45,2013-10-08 14:45:14 and 2013-10-08 14:45:14,1310-0084,87 N WOODWARD AVE; OGLESBY UNION - ACTIVITIES BLD,CLO
Found Property,9/6/13 11:35,2013-09-06 11:35:52 and 2013-09-06 11:35:52,1309-0075,830 W JEFFERSON ST; TANNER HALL,CLO
